Starting to collect Vector measurements
Timer: Vector measurements completed in 637.384 (seconds)

Starting to collect Doubly Linked List measurements
Timer: Doubly Linked List measurements completed in 293.792 (seconds)

Starting to collect Singly Linked List measurements
Timer: Singly Linked List measurements completed in 479.082 (seconds)

Starting to collect Binary Search Tree measurements
Timer: Binary Search Tree measurements completed in 0.535571 (seconds)

Starting to collect Hash Table measurements
Timer: Hash Table measurements completed in 0.293831 (seconds)
Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
0	6	0	0	101	1	0	0	1487	1135	0	0	2	0	0	0	1485	25	3532	0	499	1520
250	0	0	0	41	0	0	0	4753	19	0	0	86	0	133	0	4785	22	2943	0	1709	4835
500	0	0	0	0	0	0	0	8026	0	0	0	446	0	391	0	8185	31	5030	0	2905	8080
750	0	0	0	0	0	0	0	11322	18	0	0	634	0	736	0	11250	6	7278	0	4160	11344
1000	0	0	0	0	0	0	0	14505	0	12	0	866	0	1127	0	14871	45	9361	0	5352	14391
1250	0	0	0	0	0	0	0	17686	0	0	0	1208	0	1613	0	17880	6	11161	0	6508	17844
1500	34	0	0	0	0	0	0	21428	40	0	0	1612	0	2308	0	20981	6	13158	0	7749	21162
1750	368	9	0	0	0	0	0	25954	0	0	0	2167	0	2968	0	24234	7	15329	0	8977	24150
2000	59	0	0	0	0	0	0	28091	1	0	0	2988	0	4091	0	27648	115	17388	0	10402	27153
2250	24	0	0	0	0	0	0	31890	0	0	0	3810	0	4971	0	30847	6	19228	0	11416	31275
2500	31	0	0	25	0	0	0	34900	0	0	0	5058	21	6238	0	34155	11	22087	0	12649	34673
2750	28	0	0	0	1	0	0	37573	0	0	0	5618	0	6706	0	37975	6	23905	0	13670	41674
3000	23	0	0	0	0	0	0	40735	0	0	0	6270	0	7204	0	41060	7	25730	0	14651	41113
3250	37	10	0	0	0	0	0	44015	1	0	0	6936	0	7832	0	44646	7	27488	0	15868	44068
3500	27	0	0	0	0	0	0	47112	128	0	0	8125	0	8629	0	48224	6	30382	0	18089	47629
3750	24	0	9	0	0	0	0	50560	0	0	0	8228	0	9331	0	51245	8	32011	0	18612	50593
4000	26	0	0	0	0	0	0	53508	0	12	0	8943	0	10017	0	56612	169	34080	0	20723	53098
4250	28	0	0	0	0	0	0	56951	0	0	0	9652	0	10830	0	58146	19	36259	0	20524	56570
4500	77	0	0	0	0	0	0	60657	0	0	0	10193	0	11348	0	65366	7	37835	0	21869	59652
4750	29	1	0	0	11	0	0	63786	0	0	0	10951	0	12192	0	63193	7	41939	0	23249	63262
5000	27	0	0	22	1	0	0	68849	0	0	0	11425	1	13013	0	67106	6	42882	0	24242	66898
5250	31	0	0	0	0	9	0	71500	27	0	0	12353	0	13544	0	69597	7	44768	0	25332	70428
5500	41	21	0	0	0	0	0	73106	0	0	0	12695	0	14055	0	73504	7	46875	0	26624	72841
5750	32	0	0	0	1	0	0	76081	2	0	0	13184	0	14639	0	76585	8	47980	0	29092	75586
6000	31	0	0	0	0	0	0	79806	3	0	0	14017	0	15280	0	79531	8	51208	0	28856	78755
6250	29	57	0	0	1	0	0	83143	1	0	12	14394	0	15826	0	82726	6	52230	0	30132	82067
6500	25	0	0	0	0	0	0	86988	23	0	0	14981	0	16472	0	85953	6	54304	0	32044	86454
6750	45	0	0	0	0	0	0	89398	3	0	0	15662	0	17435	0	89516	8	55654	0	32838	92703
7000	32	0	0	0	0	0	0	94514	1	0	0	16417	15	16465	0	92237	7	58357	0	33758	93824
7250	26	0	0	0	9	0	0	95756	1	0	0	16804	0	16843	14	99459	7	60255	0	35592	94709
7500	28	9	0	0	1	0	0	99423	395	0	0	17570	0	18046	0	101147	7	61849	0	36076	99746
7750	39	0	8	0	1	0	0	102576	1	0	0	17914	0	19337	0	104263	7	64345	0	37172	103133
8000	28	0	0	0	0	0	0	110937	0	0	0	18800	0	20457	0	105494	331	66364	0	38774	105503
8250	31	0	0	0	1	0	0	111855	0	0	0	19163	0	20880	0	108685	7	68453	0	40140	112664
8500	26	0	13	0	23	0	17	114411	1	0	0	19905	0	21216	0	111860	7	70742	0	41904	110810
8750	39	52	0	25	1	0	0	115501	1	0	0	20486	1	22222	0	115165	8	72056	0	42857	113976
9000	28	0	0	0	1	21	35	120621	13	0	0	21053	18	22204	25	120905	50	75612	0	45499	119756
9250	28	0	0	0	0	0	26	128326	2	11	0	21610	0	21942	0	124509	6	77379	0	45770	123445
9500	53	0	0	0	1	0	0	125410	2	0	0	21897	0	22168	0	128403	7	79731	0	45463	123548
9750	38	0	0	0	1	0	0	128444	3	0	0	22539	0	23094	0	135835	7	80130	0	47091	127204
10000	59	0	0	9	0	0	0	135305	3	0	0	23375	0	26147	0	132039	8	83130	0	47932	131475
10250	40	49	9	0	0	0	8	137400	1	0	0	23707	0	24913	0	135855	8	84541	0	49543	134361
10500	34	0	0	0	0	0	0	138571	17	0	0	24920	0	24944	0	138395	6	87632	0	50429	136371
10750	34	19	0	0	0	0	0	143185	7	0	0	26877	0	24588	0	141229	7	88633	0	57669	142062
11000	47	0	0	0	0	0	0	150213	5	0	0	25746	0	24883	0	144846	7	91204	0	52491	146056
11250	33	1	0	0	0	0	0	147894	45	0	0	26199	0	25650	0	151345	6	93301	0	54166	146399
